id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance
5,2,s 2310,c 3102,1,maison,0,Ligete,Ligete,True,,,l_i_g_e_t_@,10
5,2,s 2310,c 3102,0,personnage,2,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
5,2,s 2310,c 3102,3,maison,1,-1,Zulergen,False,,,ts_u_l_@_r_g_@,10
5,2,s 2310,c 3102,1,vehicule,0,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10
5,2,s 2310,c 3102,2,maison,3,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10
5,2,s 2310,c 3102,1,personnage,0,Tereinat,Tereinat,True,terrainard,t_e_r_aI_n_a_r_d,t_e_r_aI_n_a_t,1.7142857142857144
5,2,s 2310,c 3102,3,vehicule,1,Melare,Melare,True,,,m_e_l_a_r_@,10
5,2,s 2310,c 3102,2,personnage,3,Lasgelich,Soltete,False,vektelin,v_@_k_t_e_l_i_n,s_o_l_t_e_t_@,6.571428571428572
5,2,s 2310,c 3102,2,vehicule,3,Soltete,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
5,2,s 2310,c 3102,3,personnage,1,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
1,3,s 1302,c 3012,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
1,3,s 1302,c 3012,0,maison,1,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10
1,3,s 1302,c 3012,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10
1,3,s 1302,c 3012,0,personnage,1,Soltete,Mielbete,False,Tereinat,t_e_r_aI_n_a_t,m_i_l_b_e_t_@,7.857142857142858
1,3,s 1302,c 3012,3,maison,0,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10
1,3,s 1302,c 3012,1,vehicule,3,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10
1,3,s 1302,c 3012,2,maison,2,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0
1,3,s 1302,c 3012,1,personnage,3,Mielbete,Tereinat,False,,,t_e_r_aI_n_a_t,10
1,3,s 1302,c 3012,3,vehicule,0,Zulergen,Melare,False,Melare,m_e_l_a_r_@,m_e_l_a_r_@,0.0
1,3,s 1302,c 3012,2,personnage,2,Keimase,Soltete,False,,,s_o_l_t_e_t_@,10
1,3,s 1302,c 3012,2,vehicule,2,Tereinat,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
1,3,s 1302,c 3012,3,personnage,0,Mattendich,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
6,2,s 3021,c 2103,0,vehicule,1,Lasgelich,Sonistik,False,,,z_o_n_i_s_t_i_k,10
6,2,s 3021,c 2103,0,maison,1,Madikten,Keimase,False,,,k_aI_m_a_s_@,10
6,2,s 3021,c 2103,1,maison,3,Zulergen,Ligete,False,,,l_i_g_e_t_@,10
6,2,s 3021,c 2103,0,personnage,1,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
6,2,s 3021,c 2103,3,maison,2,Sonistik,Zulergen,False,,,ts_u_l_@_r_g_@,10
6,2,s 3021,c 2103,1,vehicule,3,Keimase,Mattendich,False,,,m_a_t_@_n_d_i_C,10
6,2,s 3021,c 2103,2,maison,0,-1,Madikten,False,,,m_a_d_i_k_t_@,10
6,2,s 3021,c 2103,1,personnage,3,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
6,2,s 3021,c 2103,3,vehicule,2,Ligete,Melare,False,,,m_e_l_a_r_@,10
6,2,s 3021,c 2103,2,personnage,0,Mattendich,Soltete,False,,,s_o_l_t_e_t_@,10
6,2,s 3021,c 2103,2,vehicule,0,Wecktellin,Wecktellin,True,vektorine,v_@_k_t_o_r_i_n_@,v_@_k_t_e_l_i_n,3.5714285714285716
6,2,s 3021,c 2103,3,personnage,2,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10
3,3,s 0321,c 0312,0,vehicule,0,Mielbete,Sonistik,False,,,z_o_n_i_s_t_i_k,10
3,3,s 0321,c 0312,0,maison,0,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10
3,3,s 0321,c 0312,1,maison,2,Keimase,Ligete,False,,,l_i_g_e_t_@,10
3,3,s 0321,c 0312,0,personnage,0,Lasgelich,Mielbete,False,,,m_i_l_b_e_t_@,10
3,3,s 0321,c 0312,3,maison,3,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10
3,3,s 0321,c 0312,1,vehicule,2,Zulergen,Mattendich,False,,,m_a_t_@_n_d_i_C,10
3,3,s 0321,c 0312,2,maison,1,Soltete,Madikten,False,,,m_a_d_i_k_t_@,10
3,3,s 0321,c 0312,1,personnage,2,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10
3,3,s 0321,c 0312,3,vehicule,3,Wecktellin,Melare,False,,,m_e_l_a_r_@,10
3,3,s 0321,c 0312,2,personnage,1,Tereinat,Soltete,False,,,s_o_l_t_e_t_@,10
3,3,s 0321,c 0312,2,vehicule,1,Mattendich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
3,3,s 0321,c 0312,3,personnage,3,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
5,3,s 2310,c 3102,0,vehicule,2,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10
5,3,s 2310,c 3102,0,maison,2,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
5,3,s 2310,c 3102,1,maison,0,Ligete,Ligete,True,ligote,l_i_g_o_t_@,l_i_g_e_t_@,1.142857142857143
5,3,s 2310,c 3102,0,personnage,2,Mielbete,Mielbete,True,mielbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
5,3,s 2310,c 3102,3,maison,1,Zulergen,Zulergen,True,,,ts_u_l_@_r_g_@,10
5,3,s 2310,c 3102,1,vehicule,0,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10
5,3,s 2310,c 3102,2,maison,3,Madikten,Madikten,True,madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0
5,3,s 2310,c 3102,1,personnage,0,Tereinat,Tereinat,True,tereinat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0
5,3,s 2310,c 3102,3,vehicule,1,Melare,Melare,True,,,m_e_l_a_r_@,10
5,3,s 2310,c 3102,2,personnage,3,Soltete,Soltete,True,soltete,z_o_l_t_e_t_@,s_o_l_t_e_t_@,0.7142857142857143
5,3,s 2310,c 3102,2,vehicule,3,Wecktellin,Wecktellin,True,vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0
5,3,s 2310,c 3102,3,personnage,1,Mattendich,Lasgelich,False,lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0
2,3,s 3012,c 2130,0,vehicule,1,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
2,3,s 3012,c 2130,0,maison,1,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10
2,3,s 3012,c 2130,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10
2,3,s 3012,c 2130,0,personnage,1,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
2,3,s 3012,c 2130,3,maison,2,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10
2,3,s 3012,c 2130,1,vehicule,3,Mattendich,Mattendich,True,Machonde,m_a_x_o_n_d_@,m_a_t_@_n_d_i_C,4.0
2,3,s 3012,c 2130,2,maison,0,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0
2,3,s 3012,c 2130,1,personnage,3,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
2,3,s 3012,c 2130,3,vehicule,2,-1,Melare,False,,,m_e_l_a_r_@,10
2,3,s 3012,c 2130,2,personnage,0,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
2,3,s 3012,c 2130,2,vehicule,0,Wecktellin,Wecktellin,True,Vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0
2,3,s 3012,c 2130,3,personnage,2,Lasgelich,Lasgelich,True,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0
4,3,s 0231,c 0132,0,vehicule,0,Sonistik,Sonistik,True,melare,m_e_l_a_r_@,z_o_n_i_s_t_i_k,8.285714285714286
4,3,s 0231,c 0132,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
4,3,s 0231,c 0132,1,maison,2,Ligete,Ligete,True,,,l_i_g_e_t_@,10
4,3,s 0231,c 0132,0,personnage,0,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
4,3,s 0231,c 0132,3,maison,3,Mattendich,Zulergen,False,,,ts_u_l_@_r_g_@,10
4,3,s 0231,c 0132,1,vehicule,2,Mattendich,Mattendich,True,soltete,z_o_l_t_e_t_@,m_a_t_@_n_d_i_C,7.0
4,3,s 0231,c 0132,2,maison,1,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10
4,3,s 0231,c 0132,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
4,3,s 0231,c 0132,3,vehicule,3,-1,Melare,False,,,m_e_l_a_r_@,10
4,3,s 0231,c 0132,2,personnage,1,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
4,3,s 0231,c 0132,2,vehicule,1,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10
4,3,s 0231,c 0132,3,personnage,3,Lasgelich,Lasgelich,True,terrain,t_e_r_aI_n,l_a_s_g_e_l_i_C,7.714285714285715
7,2,s 1320,c 1023,0,vehicule,3,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10
7,2,s 1320,c 1023,0,maison,3,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10
7,2,s 1320,c 1023,1,maison,1,Sonistik,Ligete,False,,,l_i_g_e_t_@,10
7,2,s 1320,c 1023,0,personnage,3,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
7,2,s 1320,c 1023,3,maison,0,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10
7,2,s 1320,c 1023,1,vehicule,1,Soltete,Mattendich,False,,,m_a_t_@_n_d_i_C,10
7,2,s 1320,c 1023,2,maison,2,Wecktellin,Madikten,False,,,m_a_d_i_k_t_@,10
7,2,s 1320,c 1023,1,personnage,1,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10
7,2,s 1320,c 1023,3,vehicule,0,Soltete,Melare,False,,,m_e_l_a_r_@,10
7,2,s 1320,c 1023,2,personnage,2,Zulergen,Soltete,False,,,s_o_l_t_e_t_@,10
7,2,s 1320,c 1023,2,vehicule,2,Lasgelich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
7,2,s 1320,c 1023,3,personnage,0,Mattendich,Lasgelich,False,Malvese,m_a_l_v_e_z_e,l_a_s_g_e_l_i_C,5.857142857142858
9,2,s 3210,c 2031,0,vehicule,1,Wecktellin,Sonistik,False,M,m,z_o_n_i_s_t_i_k,7.714285714285714
9,2,s 3210,c 2031,0,maison,1,Keimase,Keimase,True,Kassaram,k_a_s_a_r_a_m,k_aI_m_a_s_@,5.0
9,2,s 3210,c 2031,1,maison,3,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10
9,2,s 3210,c 2031,0,personnage,1,Mielbete,Mielbete,True,Soltete,z_o_l_t_e_t_@,m_i_l_b_e_t_@,3.7142857142857144
9,2,s 3210,c 2031,3,maison,2,Ligete,Zulergen,False,,,ts_u_l_@_r_g_@,10
9,2,s 3210,c 2031,1,vehicule,3,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10
9,2,s 3210,c 2031,2,maison,0,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10
9,2,s 3210,c 2031,1,personnage,3,Tereinat,Tereinat,True,Tereinte,t_e_r_aI_n_t_e,t_e_r_aI_n_a_t,2.0
9,2,s 3210,c 2031,3,vehicule,2,Zulergen,Melare,False,,,m_e_l_a_r_@,10
9,2,s 3210,c 2031,2,personnage,0,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
9,2,s 3210,c 2031,2,vehicule,0,Melare,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
9,2,s 3210,c 2031,3,personnage,2,Mattendich,Lasgelich,False,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0
8,2,s 0132,c 0231,0,vehicule,0,Sonistik,Sonistik,True,F,f,z_o_n_i_s_t_i_k,7.714285714285714
8,2,s 0132,c 0231,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
8,2,s 0132,c 0231,1,maison,2,-1,Ligete,False,,,l_i_g_e_t_@,10
8,2,s 0132,c 0231,0,personnage,0,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
8,2,s 0132,c 0231,3,maison,3,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10
8,2,s 0132,c 0231,1,vehicule,2,Ligete,Mattendich,False,,,m_a_t_@_n_d_i_C,10
8,2,s 0132,c 0231,2,maison,1,Mattendich,Madikten,False,,,m_a_d_i_k_t_@,10
8,2,s 0132,c 0231,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
8,2,s 0132,c 0231,3,vehicule,3,Madikten,Melare,False,,,m_e_l_a_r_@,10
8,2,s 0132,c 0231,2,personnage,1,Soltete,Soltete,True,Sodete,z_o_d_e_t_@,s_o_l_t_e_t_@,2.428571428571429
8,2,s 0132,c 0231,2,vehicule,1,Wecktellin,Wecktellin,True,Vekteline,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0
8,2,s 0132,c 0231,3,personnage,3,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10
10,2,s 1203,c 1230,0,vehicule,3,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
10,2,s 1203,c 1230,0,maison,3,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
10,2,s 1203,c 1230,1,maison,1,Ligete,Ligete,True,,,l_i_g_e_t_@,10
10,2,s 1203,c 1230,0,personnage,3,Mielbete,Mielbete,True,milbene,m_i_l_b_e_n_@,m_i_l_b_e_t_@,2.1428571428571432
10,2,s 1203,c 1230,3,maison,0,Tereinat,Zulergen,False,,,ts_u_l_@_r_g_@,10
10,2,s 1203,c 1230,1,vehicule,1,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10
10,2,s 1203,c 1230,2,maison,2,Madikten,Madikten,True,madigte,m_a_d_i_g_t_@,m_a_d_i_k_t_@,0.7142857142857143
10,2,s 1203,c 1230,1,personnage,1,-1,Tereinat,False,terainat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0
10,2,s 1203,c 1230,3,vehicule,0,Lasgelich,Melare,False,,,m_e_l_a_r_@,10
10,2,s 1203,c 1230,2,personnage,2,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
10,2,s 1203,c 1230,2,vehicule,2,Wecktellin,Wecktellin,True,vectelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0
10,2,s 1203,c 1230,3,personnage,0,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
1,1,s 1302,c 3012,0,maison,1,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
1,1,s 1302,c 3012,0,vehicule,1,Sonistik,Sonistik,True,Solistik,z_o_l_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
1,1,s 1302,c 3012,0,personnage,1,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
2,1,s 3012,c 2130,0,maison,1,Keimase,Keimase,True,Kaimasse,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
2,1,s 3012,c 2130,0,vehicule,1,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
2,1,s 3012,c 2130,0,personnage,1,Mielbete,Mielbete,True,Malbecke,m_a_l_b_e_k_@,m_i_l_b_e_t_@,1.142857142857143
3,1,s 0321,c 0312,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
3,1,s 0321,c 0312,0,vehicule,0,Sonistik,Sonistik,True,solistik,z_o_l_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
3,1,s 0321,c 0312,0,personnage,0,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10
4,1,s 0231,c 0132,0,maison,0,Keimase,Keimase,True,Kai Maasen,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
4,1,s 0231,c 0132,0,vehicule,0,Sonistik,Sonistik,True,Sonistik,z_o_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.0
4,1,s 0231,c 0132,0,personnage,0,Mielbete,Mielbete,True,Dimil Beteq,d_i_m_i_l_b_e_t_@_k,m_i_l_b_e_t_@,1.0
5,1,s 2310,c 3102,0,maison,2,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
5,1,s 2310,c 3102,0,vehicule,2,Sonistik,Sonistik,True,somistik,z_o_m_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
5,1,s 2310,c 3102,0,personnage,2,Mielbete,Mielbete,True,milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
6,1,s 3021,c 2103,0,maison,1,Keimase,Keimase,True,keimase,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
6,1,s 3021,c 2103,0,vehicule,1,Sonistik,Sonistik,True,sunnistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
6,1,s 3021,c 2103,0,personnage,1,Mielbete,Mielbete,True,milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
7,1,s 1320,c 1023,0,maison,3,Ligete,Keimase,False,Algave,a_l_g_a_v_@,k_aI_m_a_s_@,4.2857142857142865
7,1,s 1320,c 1023,0,vehicule,3,Melare,Sonistik,False,Soldave,z_o_l_d_a_v_@,z_o_n_i_s_t_i_k,6.714285714285714
7,1,s 1320,c 1023,0,personnage,3,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
8,1,s 0132,c 0231,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
8,1,s 0132,c 0231,0,vehicule,0,Sonistik,Sonistik,True,Sonistik,z_o_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.0
8,1,s 0132,c 0231,0,personnage,0,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
9,1,s 3210,c 2031,0,maison,1,Keimase,Keimase,True,Kaimase,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
9,1,s 3210,c 2031,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
9,1,s 3210,c 2031,0,personnage,1,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
10,1,s 1203,c 1230,0,maison,3,Keimase,Keimase,True,kaimase,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
10,1,s 1203,c 1230,0,vehicule,3,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
10,1,s 1203,c 1230,0,personnage,3,Mielbete,Mielbete,True,milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
11,1,s 3120,c 2301,0,maison,1,Keimase,Keimase,True,Kaimate,k_aI_m_a_t_@,k_aI_m_a_s_@,0.7142857142857143
11,1,s 3120,c 2301,0,vehicule,1,Sonistik,Sonistik,True,Solidete,z_o_l_i_d_e_t_@,z_o_n_i_s_t_i_k,4.571428571428571
11,1,s 3120,c 2301,0,personnage,1,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
12,1,s 2130,c 1032,0,maison,2,Keimase,Keimase,True,Kaimase,k_aI_m_a_s_@,k_aI_m_a_s_@,0.0
12,1,s 2130,c 1032,0,vehicule,2,Sonistik,Sonistik,True,Sonistik,z_o_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.0
12,1,s 2130,c 1032,0,personnage,2,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0
2,1,s 3012,c 2130,1,personnage,3,Tereinat,Tereinat,True,Terehle,t_e_r_@_l_e,t_e_r_aI_n_a_t,4.0
2,1,s 3012,c 2130,1,maison,3,Ligete,Ligete,True,Melache,m_e_l_a_x_@,l_i_g_e_t_@,5.2857142857142865
2,1,s 3012,c 2130,1,vehicule,3,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10
3,1,s 0321,c 0312,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
3,1,s 0321,c 0312,1,maison,2,Ligete,Ligete,True,,,l_i_g_e_t_@,10
3,1,s 0321,c 0312,1,vehicule,2,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10
1,1,s 1302,c 3012,1,personnage,3,Tereinat,Tereinat,True,Terainat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0
1,1,s 1302,c 3012,1,maison,3,Ligete,Ligete,True,Ligete,l_i_g_e_t_@,l_i_g_e_t_@,0.0
1,1,s 1302,c 3012,1,vehicule,3,Mattendich,Mattendich,True,Mattendich,m_a_t_@_n_d_i_C,m_a_t_@_n_d_i_C,0.0
